file_key,has_gold,wer_asr,wer_lev,wer_llm,asr_output,lev_output,llm_output,correction_level,lev_instruction,llm_instruction,lev_callsign,llm_callsign
LSGS_SION_Ground_Control_121_7MHz_20210503_080828,TRUE,0.8,1,1,llima tango roger standbywh mlitary vector,Sion Ground HELI TANGO,Sion Ground HELI TANGO,,,,HELI TANGO,HELI TANGO
LSGS_SION_Ground_Control_121_7MHz_20210503_081644,TRUE,0.8333,0.8333,0.8333,fourhunded four landy,fourhunded four landy,fourhunded four landy,,,,,
LSGS_SION_Ground_Control_121_7MHz_20210503_081913,TRUE,0.25,0.625,1,charlie papa  to confirm o proceed to smnu,o charlie papa to confirm o smnu,Charlie Papa line up and wait runway 27 o smnu,,to confirm,line up and wait,charlie papa,Charlie Papa
LSGS_SION_Ground_Control_121_7MHz_20210503_082408,TRUE,0.3913,1.0435,1.0435,bravo kilo charlie juliett echo one five tousan eight four thousand eight hundred e klo charlie juliett,echo one five PHOTO CHARLIE echo one five ##n eight four thousand eight hundred e,echo one five PHOTO CHARLIE echo one five ##n eight four thousand eight hundred e,,,,PHOTO CHARLIE,PHOTO CHARLIE
LSGS_SION_Ground_Control_121_7MHz_20210503_082722,TRUE,0.1429,2,2,next fina two five hotel charlie juliett,HOTEL CHARLIE two five,HOTEL CHARLIE two five,,,,HOTEL CHARLIE,HOTEL CHARLIE
LSGS_SION_Ground_Control_121_7MHz_20210503_083741,TRUE,0.3913,0.7391,0.5652,lima deltaqnh one zero two three wind calm runway two five cleared fo takeoff u november whiskey,f DELTA cleared one zero two three f u november whiskey,uniform november whiskey cleared for takeoff one zero two three calm runway two five f u november whiskey,,cleared,cleared for takeoff,DELTA,uniform november whiskey
LSGS_SION_Ground_Control_121_7MHz_20210503_083922,TRUE,0.3,0.5,0.8,thank you qnh is one zero two three,qnh is one zero two three,thank you qnh 1023,,qnh,qnh,,
LSGS_SION_Ground_Control_121_7MHz_20210503_084629,TRUE,0.4615,1.4615,1.3077,roger hotel foxt rott kilo report to whiskey qnh one zero two three,Sion Ground FOXTROT FOXTROT report one zero two three to whiskey,roger ROTATUR | ICAO:RTR report one zero two three to whiskey,,report,report,FOXTROT FOXTROT,ROTATUR | ICAO:RTR
LSGS_SION_Ground_Control_121_7MHz_20210503_125509,TRUE,0.5,0.9091,0.7727,elo alfapa golf bravo reportr echo one runway two five qnh one zero one nine,##r AEROVIAS GOLFO report echo one runway two five ##r,Alpha Golf Bravo cleared for takeoff one zero one nine runway two five ##r,,report,cleared for takeoff,AEROVIAS GOLFO,Alpha Golf Bravo
LSGS_SION_Ground_Control_121_7MHz_20210503_130604,TRUE,0.75,0.75,0.75,five f one five one roneelo,five f one five one,five f one five one,,,,five f one five one,five f one five one
LSGS_SION_Ground_Control_121_7MHz_20210503_140302,TRUE,0.7222,0.8333,0.8889,praha e gol kilo thank you continue descendr two,descend PROHAWK continue descend ##r two,thank you PRONTO continue descent descend ##r two,,continue,continue descent,PROHAWK,PRONTO
LSGS_SION_Ground_Control_121_7MHz_20210503_141714,TRUE,0.2632,1,0.7895,tango tho six six final runway two five continue approach continue approach tango six six six,Sion Ground TANGO LIMA final runway two five,runway two five Tango Golf Six Six continue approach runway two five runway two five,,final,continue approach,TANGO LIMA,Tango Golf Six Six
LSGS_SION_Ground_Control_121_7MHz_20210503_142013,TRUE,0.4857,0.6857,0.8,zulu direction motana confirmbobare two two zero degrees three knots futte zero seven qnh one zero one eight departure and discretion coursin climbing monetanis approved,Sion Ground zulu direction continue two two zero degrees three knots futte zero seven ##bo ##e and discretion mon ##nis approved,Bobare Two Two Zero cleared for takeoff one zero one eight two two zero degrees three knots runway 07 ##bo ##e and discretion mon ##nis approved,,continue,cleared for takeoff,zulu direction,Bobare Two Two Zero
LSGS_SION_Ground_Control_121_7MHz_20210503_142105,TRUE,0.2632,0.4211,0.5789,hotel bavo kilo papa echo two one zero ds for knt runway two five cleare takeoff report november whiskey,takeoff hotel bavo kilo papa echo clear two one zero ds for knt runway two five takeoff november whiskey,Hotel Bravo Kilo Papa Echo cleared for takeoff runway two five two one zero ds for knt runway two five takeoff november whiskey,,clear,cleared for takeoff,hotel bavo kilo papa echo,Hotel Bravo Kilo Papa Echo
LSGS_SION_Ground_Control_121_7MHz_20210503_142210,TRUE,0.8571,0.8571,0.8571,o kilo,o kilo,o kilo,,,,o kilo,o kilo
LSGS_SION_Ground_Control_121_7MHz_20210503_143209,TRUE,0.2727,0.5455,0.6364,ma jet two four nine lima copye line up and wait runway two five line up two five lima maketo juliett,runway two five ma jet two four nine lima line up and wait runway two five two five lima,MAjet 249L line up and wait runway 25L runway two five two five lima,,line up and wait,line up and wait,ma jet two four nine lima,MAjet 249L
LSGS_SION_Ground_Control_121_7MHz_20210503_143715,TRUE,0.3103,0.6207,0.6207,lima mike juet two four nine lima climb flight level one four zero and maintain contact znva arrival one three six two five five to roo,Sion Ground AIR MIKE climb flight level one four zero znva arrival one three six two five five roo,Sion Ground AIR MIKE climb flight level one four zero znva arrival one three six two five five roo,,climb,climb,AIR MIKE,AIR MIKE
LSGS_SION_Ground_Control_121_7MHz_20210503_144924,TRUE,0.7931,0.7931,0.7241,good afternoon hoeavo zulu  ia juliett two five andndtrncimingb,##ndtrn good afternoon zulu ia juliett two five ##ndtrn ##b,good afternoon Hotel Oscar Zulu India Juliet two five turn right heading five ##ndtrn ##b,,,turn right heading,zulu ia juliett two,Hotel Oscar Zulu India Juliet two five
LSGS_SION_Ground_Control_121_7MHz_20210503_145500,TRUE,0.7576,0.7879,0.7879,fterpassing one tos one zero  thousandee i descendin tentwt two one five moveo vovo correct and the,##in ##pass one tos one zero thousandee ##in ##wt two one five and the,descending one tos one zero thousandee ##in ##wt two one five and the,,##pass,descending,,
LSGS_SION_Ground_Control_121_7MHz_20210503_145810,TRUE,0.5556,0.7778,1,and passing ten thousandet to four thousand feettw one fa o ravo thank you,Sion Ground passing ten thousandet four thousand feettw one fa o,thank you Two One Foxtrot Alpha Oscar Bravo descend ten thousandet four thousand feettw one fa o,,passing,descend,,Two One Foxtrot Alpha Oscar Bravo
LSGS_SION_Ground_Control_121_7MHz_20210503_150135,TRUE,0.5,0.725,0.725,wmosk two one five bravomu one five braveo are you turning vee now turning ba now wos one four bravosierra golf kilo stop please oln position sorsi own position call you back,turning vee now turning ba now ##k two one five bravo ##n turning vee now turning ba now one four position sorsi position back,Bravo Mike One Five Bravo turn right heading runway 14 turning vee now turning ba now one four position sorsi position back,,##n,turn right heading,##k two one five bravo,Bravo Mike One Five Bravo
LSGS_SION_Ground_Control_121_7MHz_20210503_150149,TRUE,0.4,0.5667,0.5,rek k moskitwo one five bavo two five zero degrees one zero o runway two five cleared to land weare tln rne o two five moskito one fye bravo,##ln rne o two five cleared to land two five zero degrees one zero o runway two five one five ##ln rne o two five one ##ye bravo,Mosquito one five Bravo cleared to land two five zero degrees one zero knots runway two five one five ##ln rne o two five one ##ye bravo,,cleared to land,cleared to land,,Mosquito one five Bravo
LSGS_SION_Ground_Control_121_7MHz_20210503_151058,TRUE,0.625,1,1,k five one one,FIVE STAR,FIVE STAR,,,,FIVE STAR,FIVE STAR
LSGS_SION_Ground_Control_121_7MHz_20210503_151517,TRUE,0.72,0.88,0.92,atwo clear otl yankee report hotechor olf echo qnh one zero one seven,hot clear one zero one seven hot,OTL Yankee cleared for takeoff one zero one seven runway 22 hot,,clear,cleared for takeoff,,OTL Yankee
LSGS_SION_Ground_Control_121_7MHz_20210503_151530,TRUE,0.5862,0.6897,0.6207,hell hotel yankee qnh one zero one seven report coteletco oro golf echo at your discretion,cote HOTEL TANGO qnh one zero one seven cote ##letco oro golf echo at your discretion,Hotel Yankee report one zero one seven cote ##letco oro golf echo at your discretion,,qnh,report,HOTEL TANGO,Hotel Yankee
LSGS_SION_Ground_Control_121_7MHz_20210503_151822,TRUE,0.5405,0.7838,0.7838,ny carlie zulu report position altitude tousand oroger the traffic is now justcty an the middle been echo ond echo two fwour thousand six hundred feet,position altitude to carl report position altitude to ##cty an the middle ##ur thousand six hundred feet,carl report position position altitude to ##cty an the middle ##ur thousand six hundred feet,,report,report position,carl,carl
LSGS_SION_Ground_Control_121_7MHz_20210503_151837,TRUE,0.8462,1,1,eh whavei si five roger able confirm be hine,Sion Ground continue,Heavy Five hold short runway 09,,continue,hold short,,Heavy Five
LSGS_SION_Ground_Control_121_7MHz_20210503_151916,TRUE,0.3333,1,1,hotl golf kilo you mai tain frequency bye bye,GOLFAIR,GOLFAIR,,,,GOLFAIR,GOLFAIR
LSGS_SION_Ground_Control_121_7MHz_20210503_151946,TRUE,0.697,0.8788,0.9091,hel charlie zulu wind two seven  zevon degrees nine knos crossing r s two five ninal dcrrection solto,r s two five ninal dcrrection solto he cross two seven zevon degrees nine knos r s two five ninal dcrrection solto,HELI CZECH cross two seven zero degrees nine knots runway 25 r s two five ninal dcrrection solto,,cross,cross,he,HELI CZECH
LSGS_SION_Ground_Control_121_7MHz_20210503_152011,TRUE,0.8182,0.9091,0.8636,b climbing ve tfive one one roger wha s next four fim,Sion Ground climb ve t one one four,climbing ve t one one four,,climb,climbing,,
LSGS_SION_Ground_Control_121_7MHz_20210503_152953,TRUE,0.8182,0.8182,0.8182,etotsitouojulett report hotel sierra or golf sirra qnh one zero one seven,hotel sierra or golf ##lett one zero one seven hotel sierra or golf ##ra,Juliet report one zero one seven hotel sierra or golf ##ra,,##lett,report,,Juliet
LSGS_SION_Ground_Control_121_7MHz_20210503_153902,TRUE,0.2941,1.4118,0.5882,foxtrot delta uniform line up and wait vya intersection alfa qnh one zero one seven,vya intersection alfa FOXTROT FOXTROT line up and wait one zero one seven vya intersection alfa,foxtrot delta uniform line up and wait one zero one seven runway alfa vya intersection alfa,,line up and wait,line up and wait,FOXTROT FOXTROT,foxtrot delta uniform
LSGS_SION_Ground_Control_121_7MHz_20210503_153923,TRUE,0.2581,0.9677,0.6129,foxtrot delta uniform report november whiskey wind two seven zero degrees one zero nos  two five cleared for takeoff  cleared for takeoff two five fv foxtroobt unifoxr athakbs,november whiskey FOXTROT FOXTROT report two seven zero degrees one zero nos two five november whiskey two five fv ##bs,Fox Delta Uniform cleared for takeoff two seven zero degrees one zero knots runway 25 november whiskey two five fv ##bs,,report,cleared for takeoff,FOXTROT FOXTROT,Fox Delta Uniform
LSGS_SION_Ground_Control_121_7MHz_20210503_155852,TRUE,0.9167,1,1,ep one fone one,ep,EPPS AIR 101 hold short runway 11,,,hold short,ep,EPPS AIR 101
LSGS_SION_Ground_Control_121_7MHz_20210503_160018,TRUE,0.4286,0.7143,0.5714,two six reduc two five five,six red two two,two six squawk two two,,red,squawk,six,two six
LSGS_SION_Ground_Control_121_7MHz_20210503_161046,TRUE,0.2973,0.6486,0.6216,three four two six in right hand on wind runway two five brah three four two six two five s one two knots t two five landing on isquestant myk discretion three four two six,in right hand three four two six on two five s one two knots t two five in right hand runway two five,three four two six cleared for takeoff two five zero degrees one two knots runway two five in right hand runway two five,,on,cleared for takeoff,three four two six,three four two six
LSGS_SION_Ground_Control_121_7MHz_20210503_161854,TRUE,0.7143,0.9143,0.8571,coten tango oscar uma diat the frequency bye byeixe five one one sorthe climb is approvedapotanga papa,approved cote the frequency approved ##nga papa,bye bye CORENDON climb approved one two one decimal five one one approved ##nga papa,,the frequency,climb approved,cote,CORENDON
LSGS_SION_Ground_Control_121_7MHz_20210503_162417,TRUE,0.5172,0.7586,0.7586,five fov onflight level five one one thank you report one zero miles report  one zero milesa five fie one,level onflight one zero miles one zero milesa five fie one,level cleared for takeoff one zero miles one zero milesa five fie one,,onflight,cleared for takeoff,level,level
LSGS_SION_Ground_Control_121_7MHz_20210503_163635,TRUE,0.5,0.7059,0.7059,re ove onu thank you five one one you can contact cona delta ond frequency one one nine decimal one seven five,on FIVE STAR contact on frequency one one nine decimal one seven five,on FIVE STAR contact on frequency one one nine decimal one seven five,,contact,contact,FIVE STAR,FIVE STAR
LSGS_SION_Ground_Control_121_7MHz_20210503_164624,TRUE,0.5714,1.5714,4.1429,khn tower hotel brovo kilo echoiqay,Sion Ground HOTEL TANGO,HOTEL BRAVO KILO ONE ZERO TWO NINER,,,,HOTEL TANGO,HOTEL BRAVO KILO
LSGS_SION_Ground_Control_121_7MHz_20210503_164649,TRUE,0.4333,0.8667,0.8,her echo xray port echo one runway two five qnh one zero one seven eng one zero one seven runway two five ko otte choi,port XRAY qnh one runway two five port,Herex One cleared to land one zero one seven runway 25 port,,qnh,cleared to land,XRAY,Herex One
LSGS_SION_Ground_Control_121_7MHz_20210504_062720,TRUE,0.6154,0.8462,0.8462,tonror three six fove sieron tower good morning air taxi honing point golf o zero seven qnh one zero one eight,Sion Ground good morning tonror three six qnh honing point golf o zero seven,good morning Condor Three Six Five Sierra qnh one zero one eight,,qnh,qnh,tonror three six,Condor Three Six Five Sierra
LSGS_SION_Ground_Control_121_7MHz_20210504_063202,TRUE,0.5714,0.7143,0.8095,ao three six five an three al tour thousand tee on feet climbing konh one zero on seven tree,Sion Ground ao three six five an three climb tour thousand tee on feet one zero on seven tree,AOL three six five climb one zero one seven tour thousand tee on feet one zero on seven tree,,climb,climb,ao three six five an three,AOL three six five
LSGS_SION_Ground_Control_121_7MHz_20210504_065614,TRUE,0.9048,0.9048,0.9048,abovo zulu rlie zlu ontkiloliininu one,##nu one abovo zulu ##nu one,##nu one abovo zulu ##nu one,,,,abovo zulu,abovo zulu
LSGS_SION_Ground_Control_121_7MHz_20210504_070027,TRUE,0.4286,1.4286,1.4286,o six zero echo ready reaching,VICTOR ECHO,VICTOR ECHO,,,,VICTOR ECHO,VICTOR ECHO
LSGS_SION_Ground_Control_121_7MHz_20210504_070942,TRUE,0.6,0.9,0.9,three one thre taxi approved,Sion Ground THAI JET approved,Sion Ground THAI JET approved,,,,THAI JET,THAI JET
LSGS_SION_Ground_Control_121_7MHz_20210504_095148,TRUE,0.4444,0.8889,0.8889,three one three taxi to pok approved,Sion Ground three one three,Sion Ground three one three,,,,three one three,three one three
LSGS_SION_Ground_Control_121_7MHz_20210504_100959,TRUE,0.4815,0.8889,0.5926,five one one report passing one three tos climb or one seven shen feet climbing one seven thousandropo,passing one three tos FIVE STAR report passing one three tos or one seven shen feet one seven thousandropo,five one one report passing passing one three tos or one seven shen feet one seven thousandropo,,report,report passing,FIVE STAR,five one one
LSGS_SION_Ground_Control_121_7MHz_20210504_101442,TRUE,0.4857,0.4857,0.4857,cakair five one one contact  approach one two six decimal eight two five ttou later one two six foveiv two five io e,Sion Ground ##r five one one contact approach one two six decimal eight two five ttou later one two six two five io e,Sion Ground ##r five one one contact approach one two six decimal eight two five ttou later one two six two five io e,,contact,contact,##r five one one,##r five one one
LSGS_SION_Ground_Control_121_7MHz_20210504_102003,TRUE,0.5333,0.8,0.8,o tower established five one one t report goling around,Sion Ground FIVE STAR report go ##ling around,Sion Ground FIVE STAR report go ##ling around,,report,report,FIVE STAR,FIVE STAR
LSGS_SION_Ground_Control_121_7MHz_20210504_102805,TRUE,0.2857,1.1429,0.8571,checgair five one one report passing one three thousand feet in climb,passing one three thousand feet in climb CHEBAIR report passing one three thousand feet in climb,CHECK AIR 511 report passing passing one three thousand feet in climb,,report,report passing,CHEBAIR,CHECK AIR 511
LSGS_SION_Ground_Control_121_7MHz_20210504_125034,TRUE,0.8649,0.9459,0.9459,tango three one three eve tchthree one three umar frequency le z ot,z ot tango three one three z ot,z ot tango three one three z ot,,,,tango three one three,tango three one three
LSGS_SION_Ground_Control_121_7MHz_20210504_130255,TRUE,1,1,1,rboo de bavu ze te t,rboo de bavu ze te t,rboo de bavu ze te t,,,,,
LSGS_SION_Ground_Control_121_7MHz_20210504_134548,TRUE,0.5,0.75,1,ok approximattly fifteen minutes buttart tix thank you,fifteen minutes fifteen minutes,line up and wait runway 16 fifteen minutes,,,line up and wait,,
LSGS_SION_Ground_Control_121_7MHz_20210504_152004,TRUE,0.6857,0.7429,0.7429,zotwo two five charlie zulu wind two fivetwo two five any own discreetion le ee o two two five pai zulu,ee o two two five zotwo two five any two fivetwo two five ee o two two five ##i zulu,OZO 225 own discretion two five zero degrees two five knots runway 22 two fivetwo two five ee o two two five ##i zulu,,any,own discretion,zotwo two five,OZO 225
LSGS_SION_Ground_Control_121_7MHz_20210504_155421,TRUE,0.8649,0.9189,0.8649,five one one good afternoon wayto t lnoatetolob,good afternoon FIVE STAR,good afternoon five one one go around,,,go around,FIVE STAR,five one one
LSGS_SION_Ground_Control_121_7MHz_20210505_065954,TRUE,0.6667,0.7778,0.7778,correct report for taxy,for correct for ##y,report for ##y,,correct,report,,
LSGS_SION_Ground_Control_121_7MHz_20210505_105917,TRUE,0.0909,0.5455,0.4545,tango three three five frequency approved good bye good bye,Sion Ground tango three three five frequency change approved,goodbye Tango Three Three Five frequency change approved,,frequency change,frequency change,tango three three five,Tango Three Three Five
LSGS_SION_Ground_Control_121_7MHz_20210505_110845,TRUE,0.3721,0.6047,0.6047,passing one three thousand seven eight five bye swss ai f five two eight conta swiss weda one two four decimal two two five good bye one two four two two five seven fov five,##a ai f five two eight one three thousand seven eight five ##a one two four decimal two two five one two four two two five seven,##a ai f five two eight one three thousand seven eight five ##a one two four decimal two two five one two four two two five seven,,,,ai f five two eight,ai f five two eight
LSGS_SION_Ground_Control_121_7MHz_20210505_112213,TRUE,1,1,1,three four two five abaraet,three four two five,three four two five,,,,three four two five,three four two five
LSGS_SION_Ground_Control_121_7MHz_20210505_115427,TRUE,0.5185,0.5926,0.6667,two yonke wind two four zero degrees one five knots  two two five leanving on dis correctionedar disqe  la o two fov,dis lean two four zero degrees one five knots two two five dis ##eda di ##qe la o two fov,Yankee Two wind two four zero degrees one five knots dis ##eda di ##qe la o two fov,,lean,wind,,Yankee Two
LSGS_SION_Ground_Control_121_7MHz_20210505_132136,TRUE,0.2778,0.6667,0.7778,beair nine five one startup approved runway two five qnh one zero one two report ready for taxi approved qnh one zero one twoo report ready por taxi beair nine five two,Sion Ground beair nine five one startup approved runway two five ready for taxi approved ready por taxi,Belair 951 startup approved 1012 runway 25 ready for taxi approved ready por taxi,,startup approved,startup approved,beair nine five one,Belair 951
LSGS_SION_Ground_Control_121_7MHz_20210505_132913,TRUE,0.3333,0.6667,0.6667,e nine five one standby call you back,e nine five one,e nine five one,,,,e nine five one,e nine five one
LSGS_SION_Ground_Control_121_7MHz_20210505_140831,TRUE,0.7391,0.913,0.9565,sirry you have to file flight ok we ele he companio w no problem mase atek thank you,flight ok you flight ok w,cleared for takeoff flight ok w,,you,cleared for takeoff,,
LSGS_SION_Ground_Control_121_7MHz_20210505_142343,TRUE,0.625,1,1,four six seven z,FOUR STAR,FOUR STAR,,,,FOUR STAR,FOUR STAR
LSGS_SION_Ground_Control_121_7MHz_20210505_143351,TRUE,0.9583,0.9583,0.9583,tankof runwaytwo fiveen on  fofour six sivo,runwaytwo fiveen runwaytwo fiveen on fof ##our six sivo,Tankof cleared for takeoff runway 25 runwaytwo fiveen on fof ##our six sivo,,,cleared for takeoff,,Tankof
LSGS_SION_Ground_Control_121_7MHz_20210505_155803,TRUE,0.4,0.8,0.72,rao tu tango alf point tenta two five fully ready hotel tango alfa report passing one three thousand feet wind two six zero degrees one zerorunway two five cleared for takeoff de takeoff two five next ep thee tou et hotel tavo,alf point tenta HOTEL TANGO fully ready two six zero degrees one zerorunway two five alf point tenta two five passing one three thousand feet takeoff two five ep thee hotel tavo,Hotel Tango cleared for takeoff two six zero degrees one zero knots runway two five alf point tenta two five passing one three thousand feet takeoff two five ep thee hotel tavo,,fully ready,cleared for takeoff,HOTEL TANGO,Hotel Tango
LSZB_BERN_Tower_121_0MHz_20210414_063757,TRUE,0.1667,1.5833,1.75,ho whiskey alfa wind is calm runway one four cleared for takeoff,runway one four WHISKY INDIA cleared for takeoff is calm runway one four,HOZAVIA | ICAO:OZU cleared for takeoff is calm runway 14 runway one four,,cleared for takeoff,cleared for takeoff,WHISKY INDIA,HOZAVIA | ICAO:OZU
LSZB_BERN_Tower_121_0MHz_20210414_064609,TRUE,0.3333,0.9048,0.5714,hotel romeo oscar roger crossing direct o eho at four thousand feet is approved un one zero two five,Bern Tower MIKE ROMEO crossing direct o eho at four thousand feet approved un one zero two five,Hotel Romeo Oscar Roger cross one zero two five o eho at four thousand feet approved un one zero two five,,crossing direct,cross,MIKE ROMEO,Hotel Romeo Oscar Roger
LSZB_BERN_Tower_121_0MHz_20210414_072026,TRUE,0.1667,0.3333,0.3333,hotel bravo papa november lima ti tower contact tu on one two three decimal two five five,Bern Tower hotel bravo papa november lima contact tu on one two three decimal two five five,Bern Tower hotel bravo papa november lima contact tu on one two three decimal two five five,,contact,contact,hotel bravo papa november lima,hotel bravo papa november lima
LSZB_BERN_Tower_121_0MHz_20210414_073411,TRUE,0,1.4545,0.3636,hotel quebec mike i confirm cleared to land runway one four,runway one four HOTEL CHARLIE i runway one four,Hotel Quebec Mike cleared to land runway 14 runway one four,,i,cleared to land,HOTEL CHARLIE,Hotel Quebec Mike
LSZB_BERN_Tower_121_0MHz_20210414_073805,TRUE,0.4,1.6,0.5,hotel hotel golf next left y del tobu sector,y del HOTEL TANGO next left y del sector,Hotel Hotel Golf turn left heading y del sector,,next left,turn left heading,HOTEL TANGO,Hotel Hotel Golf
LSZB_BERN_Tower_121_0MHz_20210414_081657,TRUE,0.1818,0.8182,0.4545,hotel echo echo leav controlson via rout zulu wind zero four zero degrees seven knots runway one four cleared for takeoff,##on HOTEL CHARLIE cleared for takeoff zero four zero degrees seven knots runway one four ##on via ro zulu,Hotel Echo Echo cleared for takeoff zero four zero degrees seven knots runway one four ##on via ro zulu,,cleared for takeoff,cleared for takeoff,HOTEL CHARLIE,Hotel Echo Echo
LSZB_BERN_Tower_121_0MHz_20210414_092138,TRUE,0,1.0588,0.3529,hotel golf november wind zero one zero degrees one zero knots runway one four cleared to land,GOLF NOVEMBER cleared to land zero one zero degrees one zero knots runway one four,Hotel Golf November cleared to land zero one zero degrees one zero knots runway one four,,cleared to land,cleared to land,GOLF NOVEMBER,Hotel Golf November
LSZB_BERN_Tower_121_0MHz_20210414_093450,TRUE,0.1667,0.5833,0.4167,tango three three one nr one is now on right base,Brno Tower tango three three one is nr one on right base,Tango Three Three One report runway one nr one on right base,,is,report,tango three three one,Tango Three Three One
LSZB_BERN_Tower_121_0MHz_20210414_094052,TRUE,0,0.8889,0.4444,hotel golf oscar wind check zero two zero degrees one one knots can you still accept one four,check HOTEL TANGO accept zero two zero degrees one one knots check one four,Hotel Golf Oscar can you still accept zero two zero degrees one one knots runway 14 check one four,,accept,can you still accept,HOTEL TANGO,Hotel Golf Oscar
LSZB_BERN_Tower_121_0MHz_20210414_094938,TRUE,0.3448,0.8621,0.9655,read hel lima juliett jhon med left heli cicit three two land at own discretion sis helicopter wind zero four zero degrees one zero knots,##hon med left he land zero four zero degrees one zero knots ##hon med left at own discretion,HELI CZECH cleared to land zero four zero degrees one zero knots runway 32 ##hon med left at own discretion,,land,cleared to land,he,HELI CZECH
LSZB_BERN_Tower_121_0MHz_20210414_103845,TRUE,0.1429,0.5714,0.2143,hotbravo three zero four three affirm climb maximum five thousand five hundred feet,maximum five thousand five hundred feet ##vo three zero four three af maximum five thousand five hundred feet,Hotbravo three zero four three climb maximum five thousand five hundred feet,,af,climb,##vo three zero four three,Hotbravo three zero four three
LSZB_BERN_Tower_121_0MHz_20210414_125328,TRUE,0.1739,0.8696,1.0435,helly oscar alfa traffic ise te runway three two is available but the wind is one zero zero degrees with one zero knots,is SUGAR ALFA wind one zero zero degrees with one zero knots is runway three two is available,OLAVIA cleared for takeoff one zero zero degrees with one zero knots runway three two is runway three two is available,,wind,cleared for takeoff,SUGAR ALFA,OLAVIA
LSZB_BERN_Tower_121_0MHz_20210414_132458,TRUE,0.2857,0.7143,0.7143,tango three one eight roger you can already change frequency ou have nige stay,Bern Tower tango three one eight change frequency,roger Tango Three One Eight frequency change,,change frequency,frequency change,tango three one eight,Tango Three One Eight
LSZB_BERN_Tower_121_0MHz_20210414_151418,TRUE,0.5789,0.9474,0.9474,hote whiskey echon three thousando hundred feet and youon fo seven thousand frequency improved,##n WHISKY INDIA ##n three thousando hundred feet fo seven thousand frequency improved,##n WHISKY INDIA ##n three thousando hundred feet fo seven thousand frequency improved,,,,WHISKY INDIA,WHISKY INDIA
LSZB_BERN_Tower_121_0MHz_20210414_162817,TRUE,0.4615,1.2308,0.6154,hotel oscar qnh one zero two retre two intersection foxtrot,Bern Tower HOTEL TANGO qnh one zero two ##t,Hotel Oscar taxi via one zero two ##t,,qnh,taxi via,HOTEL TANGO,Hotel Oscar
LSZB_BERN_Tower_121_0MHz_20210415_122910,TRUE,0.56,1.12,1,heading direct for hotel w three thousand six hundredn on is corretion two swiss hee cote wind zero seven zero degrees six knots,hotel w three thousand six hundredn on is corretion two swiss hee cote heading direct for zero seven zero degrees six knots hotel w three thousand six hundredn on is corretion two swiss hee cote,Swiss He Cote turn right heading zero seven zero degrees six knots hotel w three thousand six hundredn on is corretion two swiss hee cote,,heading direct for,turn right heading,,Swiss He Cote
LSZB_BERN_Tower_121_0MHz_20210415_123557,TRUE,0.6875,1.125,0.75,eri charlie papa traffic si landn ot soon departing ruva three twobkoi tr,Bern Tower PHOTO CHARLIE departing ru three two,Charlie Papa cleared for takeoff runway 32 ru three two,,departing,cleared for takeoff,PHOTO CHARLIE,Charlie Papa
LSZB_BERN_Tower_121_0MHz_20210415_124802,TRUE,0.3182,0.8636,0.5,hotel golf oscar b r ind zero four zero degrees one three lot runway three two cleared for takeoff,Bern Ground HOTEL TANGO cleared for takeoff zero four zero degrees one three lot runway three two r ind,Hotel Golf Oscar cleared for takeoff zero four zero degrees one three knots runway 32 r ind,,cleared for takeoff,cleared for takeoff,HOTEL TANGO,Hotel Golf Oscar
LSZB_BERN_Tower_121_0MHz_20210415_125054,TRUE,0.6364,0.9091,0.9091,yee of course then you can expect vf after touching report breaking o for romeo crclin,vf expect vf breaking o for romeo crclin,Oscar Foxtrot Romeo Romeo Oscar Lima India November line up and wait vf breaking o for romeo crclin,,expect,line up and wait,,Oscar Foxtrot Romeo Romeo Oscar Lima India November
LSZB_BERN_Tower_121_0MHz_20210415_130747,TRUE,0.4211,0.9474,0.6842,o kilo golf yankee a tawer good afternoon next report breaking off osceting three two,Bern Tower good afternoon KILO YANKEE next breaking os ##ce ##ting three two,good afternoon Kilo Golf Yankee report runway 32 breaking os ##ce ##ting three two,,next,report,KILO YANKEE,Kilo Golf Yankee
LSZB_BERN_Tower_121_0MHz_20210415_134139,TRUE,0.4706,0.6471,0.7647,ttwoo november expect landing clea chortly traffic on the runway is depating three two alpa to the west,clea expect landing clea runway three two alpa to the west,November Two Two cleared to land runway three two clea runway three two alpa to the west,,expect landing,cleared to land,,November Two Two
LSZB_BERN_Tower_121_0MHz_20210415_134749,TRUE,0.3158,1.1579,0.6842,hotel osca foxtrotrot whiskey four thousand five hundred request to leae frequency what  oscar foxtrot o frequency change approved,Bern Tower SIERRA WHISKEY request to four thousand five hundred lea what approved,Hotel Oscar Foxtrot Whiskey frequency change approved four thousand five hundred lea what approved,,request to,frequency change approved,SIERRA WHISKEY,Hotel Oscar Foxtrot Whiskey
LSZB_BERN_Tower_121_0MHz_20210415_140747,TRUE,0.2188,0.6875,0.7188,ot papa golf turning base runway three two hote papa golf wind zero four zero degrees eight knot runway three two cleared to land three two coltel ote papa golf,turning base runway three two PAPAGO cleared to land zero four zero degrees eight knot runway three two turning base runway three two three two,OT-PGF cleared to land zero four zero degrees eight knots runway 32 turning base runway three two three two,,cleared to land,cleared to land,PAPAGO,OT-PGF
